/home/zlin/.conda/envs/mdforqot/bin/python -m experiments.paper79_reproduction.run_small_qubit_trend --kinds random --N 4 --case mixed --seeds 0 --eps 0.001 --T_kl 1000000 --T_md 1000000 --lbfgs_max_iter 100000 --tol_tr 0.0001 --tol_f 1e-08 --tol_inner 0.0001 --out results/hpc_standard_qubit_eps_N4/cold/N4/random_mixed_seed0_all_eps1em03.csv --methods lbfgs,kl,md --M_list 1,2,5 --eta_kl_rules eps_over_N,eps --max_gibbs_calls 1000000
[Run] kind=random N=4 case=mixed seed=0 eps=0.001
Wrote results/hpc_standard_qubit_eps_N4/cold/N4/random_mixed_seed0_all_eps1em03.csv
Wrote partial checkpoint results/hpc_standard_qubit_eps_N4/cold/N4/random_mixed_seed0_all_eps1em03.csv.partial.jsonl
/home/zlin/.conda/envs/mdforqot/bin/python -m experiments.paper79_reproduction.run_warm_start_comparison --instance qubit --kind random --N 4 --case mixed --seed 0 --eps_final 0.001 --eps0 1.0 --q 10.0 --max_inner 1000000 --inner_tol 0.01 --final_tol 0.0001 --tol_tr 0.0001 --tol_F 1e-08 --out results/hpc_standard_qubit_eps_N4/warm/N4/random_mixed_seed0_warm_eps1em03.csv --max_gibbs_calls 1000000
{'method': 'KL descent (eta=eps/N)', 'mode': 'cold', 'converged': True, 'iters': 22858, 'gibbs_calls': 22859, 'warmup_gibbs_calls': 0, 'total_with_warm_gibbs': 22859, 'time_sec': 32.557565450668335, 'warmup_time_sec': 0.0, 'total_with_warm_time_sec': 32.557565450668335, 'final_F_marg': 1.2932391017264002e-08, 'final_e_tr': 9.999229760033923e-05, 'final_trace_sum': 0.00028253706424186353, 'final_cost': -0.8363313646193379, 'final_dual_value': -0.8369801834267925, 'stage_gibbs_calls': '', 'stage_iters': '', 'eps_schedule': '', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 13273, 'hit_tr_gibbs_le_1em03': 13274, 'total_hit_tr_gibbs_le_1em03': 13274, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 22858, 'hit_tr_gibbs_le_1em04': 22859, 'total_hit_tr_gibbs_le_1em04': 22859, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'KL descent (eta=eps/N)'}
{'method': 'KL descent (eta=eps/N)', 'mode': 'warm_matched', 'converged': True, 'iters': 21368, 'gibbs_calls': 21369, 'warmup_gibbs_calls': 429, 'total_with_warm_gibbs': 21798, 'time_sec': 30.501006603240967, 'warmup_time_sec': 0.6138389110565186, 'total_with_warm_time_sec': 31.114845514297485, 'final_F_marg': 1.4818587450143834e-08, 'final_e_tr': 9.998221204300444e-05, 'final_trace_sum': 0.00031616571099772785, 'final_cost': -0.8363240922924291, 'final_dual_value': -0.8369801859169216, 'stage_gibbs_calls': '15;83;331', 'stage_iters': '14;82;330', 'eps_schedule': '1.0;0.1;0.01', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 10027, 'hit_tr_gibbs_le_1em03': 10028, 'total_hit_tr_gibbs_le_1em03': 10457, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 21368, 'hit_tr_gibbs_le_1em04': 21369, 'total_hit_tr_gibbs_le_1em04': 21798, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'KL descent (eta=eps/N)'}
{'method': 'KL descent (eta=eps)', 'mode': 'cold', 'converged': True, 'iters': 5714, 'gibbs_calls': 5715, 'warmup_gibbs_calls': 0, 'total_with_warm_gibbs': 5715, 'time_sec': 8.141844749450684, 'warmup_time_sec': 0.0, 'total_with_warm_time_sec': 8.141844749450684, 'final_F_marg': 1.2918469311425524e-08, 'final_e_tr': 9.991459713898108e-05, 'final_trace_sum': 0.0002824321478689826, 'final_cost': -0.8363313567697443, 'final_dual_value': -0.8369801834108709, 'stage_gibbs_calls': '', 'stage_iters': '', 'eps_schedule': '', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 3317, 'hit_tr_gibbs_le_1em03': 3318, 'total_hit_tr_gibbs_le_1em03': 3318, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 5714, 'hit_tr_gibbs_le_1em04': 5715, 'total_hit_tr_gibbs_le_1em04': 5715, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'KL descent (eta=eps)'}
{'method': 'KL descent (eta=eps)', 'mode': 'warm_matched', 'converged': True, 'iters': 5343, 'gibbs_calls': 5344, 'warmup_gibbs_calls': 107, 'total_with_warm_gibbs': 5451, 'time_sec': 7.62375283241272, 'warmup_time_sec': 0.15362262725830078, 'total_with_warm_time_sec': 7.7773754596710205, 'final_F_marg': 1.4803516992414184e-08, 'final_e_tr': 9.993133812700785e-05, 'final_trace_sum': 0.0003160204745071198, 'final_cost': -0.836324096549335, 'final_dual_value': -0.8369801858983432, 'stage_gibbs_calls': '3;21;83', 'stage_iters': '2;20;82', 'eps_schedule': '1.0;0.1;0.01', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 2508, 'hit_tr_gibbs_le_1em03': 2509, 'total_hit_tr_gibbs_le_1em03': 2616, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 5343, 'hit_tr_gibbs_le_1em04': 5344, 'total_hit_tr_gibbs_le_1em04': 5451, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'KL descent (eta=eps)'}
{'method': 'MD-Sinkhorn (M=1)', 'mode': 'cold', 'converged': True, 'iters': 4930, 'gibbs_calls': 18528, 'warmup_gibbs_calls': 0, 'total_with_warm_gibbs': 18528, 'time_sec': 15.009274005889893, 'warmup_time_sec': 0.0, 'total_with_warm_time_sec': 15.009274005889893, 'final_F_marg': 1.8954973230870034e-08, 'final_e_tr': 9.963384327813367e-05, 'final_trace_sum': 0.0003671011496596985, 'final_cost': -0.8363278414206716, 'final_dual_value': -0.8369801855388392, 'stage_gibbs_calls': '', 'stage_iters': '', 'eps_schedule': '', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 2999, 'hit_tr_gibbs_le_1em03': 11997, 'total_hit_tr_gibbs_le_1em03': 11997, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 4930, 'hit_tr_gibbs_le_1em04': 18528, 'total_hit_tr_gibbs_le_1em04': 18528, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'MD-Sinkhorn (M=1)'}
{'method': 'MD-Sinkhorn (M=1)', 'mode': 'warm_matched', 'converged': True, 'iters': 4739, 'gibbs_calls': 18367, 'warmup_gibbs_calls': 415, 'total_with_warm_gibbs': 18782, 'time_sec': 14.725454330444336, 'warmup_time_sec': 0.33235716819763184, 'total_with_warm_time_sec': 15.057811498641968, 'final_F_marg': 2.054960855098182e-08, 'final_e_tr': 9.959860742906547e-05, 'final_trace_sum': 0.0003870161926479576, 'final_cost': -0.8363241815930513, 'final_dual_value': -0.8369801917008224, 'stage_gibbs_calls': '9;85;321', 'stage_iters': '2;21;80', 'eps_schedule': '1.0;0.1;0.01', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 2226, 'hit_tr_gibbs_le_1em03': 8905, 'total_hit_tr_gibbs_le_1em03': 9320, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 4739, 'hit_tr_gibbs_le_1em04': 18367, 'total_hit_tr_gibbs_le_1em04': 18782, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'MD-Sinkhorn (M=1)'}
{'method': 'MD-Sinkhorn (M=2)', 'mode': 'cold', 'converged': True, 'iters': 2515, 'gibbs_calls': 18699, 'warmup_gibbs_calls': 0, 'total_with_warm_gibbs': 18699, 'time_sec': 13.07091736793518, 'warmup_time_sec': 0.0, 'total_with_warm_time_sec': 13.07091736793518, 'final_F_marg': 1.9149760703737458e-08, 'final_e_tr': 9.905658625692458e-05, 'final_trace_sum': 0.0003723360752908635, 'final_cost': -0.8363313592960558, 'final_dual_value': -0.8369801846259355, 'stage_gibbs_calls': '', 'stage_iters': '', 'eps_schedule': '', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 1575, 'hit_tr_gibbs_le_1em03': 12601, 'total_hit_tr_gibbs_le_1em03': 12601, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 2515, 'hit_tr_gibbs_le_1em04': 18699, 'total_hit_tr_gibbs_le_1em04': 18699, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'MD-Sinkhorn (M=2)'}
{'method': 'MD-Sinkhorn (M=2)', 'mode': 'warm_matched', 'converged': True, 'iters': 2350, 'gibbs_calls': 17485, 'warmup_gibbs_calls': 451, 'total_with_warm_gibbs': 17936, 'time_sec': 12.209888696670532, 'warmup_time_sec': 0.3158879280090332, 'total_with_warm_time_sec': 12.525776624679565, 'final_F_marg': 1.93655725505581e-08, 'final_e_tr': 9.981103554693098e-05, 'final_trace_sum': 0.00037336619898389395, 'final_cost': -0.8363265008857637, 'final_dual_value': -0.8369801896477675, 'stage_gibbs_calls': '17;105;329', 'stage_iters': '2;13;41', 'eps_schedule': '1.0;0.1;0.01', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 1050, 'hit_tr_gibbs_le_1em03': 8401, 'total_hit_tr_gibbs_le_1em03': 8852, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 2350, 'hit_tr_gibbs_le_1em04': 17485, 'total_hit_tr_gibbs_le_1em04': 17936, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'MD-Sinkhorn (M=2)'}
{'method': 'MD-Sinkhorn (M=5)', 'mode': 'cold', 'converged': True, 'iters': 1073, 'gibbs_calls': 18732, 'warmup_gibbs_calls': 0, 'total_with_warm_gibbs': 18732, 'time_sec': 11.87602710723877, 'warmup_time_sec': 0.0, 'total_with_warm_time_sec': 11.87602710723877, 'final_F_marg': 1.9914420690220696e-08, 'final_e_tr': 9.961971958623307e-05, 'final_trace_sum': 0.00037836106974196884, 'final_cost': -0.8363351363218984, 'final_dual_value': -0.8369801807615292, 'stage_gibbs_calls': '', 'stage_iters': '', 'eps_schedule': '', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 748, 'hit_tr_gibbs_le_1em03': 14961, 'total_hit_tr_gibbs_le_1em03': 14961, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 1073, 'hit_tr_gibbs_le_1em04': 18732, 'total_hit_tr_gibbs_le_1em04': 18732, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'MD-Sinkhorn (M=5)'}
{'method': 'MD-Sinkhorn (M=5)', 'mode': 'warm_matched', 'converged': True, 'iters': 879, 'gibbs_calls': 13510, 'warmup_gibbs_calls': 683, 'total_with_warm_gibbs': 14193, 'time_sec': 8.662442684173584, 'warmup_time_sec': 0.4309358596801758, 'total_with_warm_time_sec': 9.09337854385376, 'final_F_marg': 2.0912722234912168e-08, 'final_e_tr': 9.973315870216693e-05, 'final_trace_sum': 0.0003864778571215994, 'final_cost': -0.8363279645057965, 'final_dual_value': -0.8369801865597466, 'stage_gibbs_calls': '21;161;501', 'stage_iters': '2;8;25', 'eps_schedule': '1.0;0.1;0.01', 'hit_tr_le_1em03': True, 'hit_tr_iter_le_1em03': 338, 'hit_tr_gibbs_le_1em03': 6761, 'total_hit_tr_gibbs_le_1em03': 7444, 'hit_tr_le_1em04': True, 'hit_tr_iter_le_1em04': 879, 'hit_tr_gibbs_le_1em04': 13510, 'total_hit_tr_gibbs_le_1em04': 14193, 'small_kind': 'random', 'small_case': 'mixed', 'N': 4, 'seed': 0, 'paper79_label': 'small_random_mixed_N4_seed0', 'eps_final': 0.001, 'eps0': 1.0, 'q': 10.0, 'max_inner': 1000000, 'max_gibbs_calls': 1000000, 'warm_method': 'matched', 'warm_variant': 'MD-Sinkhorn (M=5)'}
Wrote results/hpc_standard_qubit_eps_N4/warm/N4/random_mixed_seed0_warm_eps1em03.csv
